Outcome,Coalition,Labor,Greens,Palmer United,Motoring Enthusiast,Xenophon,Madigan,Liberal Democratic,Family First
For,33,,,,,,,1,1
Against,,25,10,3,1,1,1,,
Absent,,,,,,,,,,
